seq,role,name,gender,dateOfBirth,passportID,iris,fingerprint,bookingID,flight,from,to,departure,arrival,bookingClass,seat,countCheckedBaggage,checkedBaggage,warrant
14,Passenger,Eden Morgan,MALE,1950-12-30,PLLQQCKHZ,--/////....//...-/-/-..-.,.:..:-:.-.-.-::--....:--:-::-.--:.:.:-------:..:,4NHIVC,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,3C,2,18.7 19.1,NO
15,Passenger,Genevieve Clarke,FEMALE,1967-04-14,8KOYCRVM3,--/--//../..-/-/-/.//.-.-,.::-.-:.--.-:-:.-.:-.:::--.--::.--::-:-..:-:.--:,JBXMCE,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,3D,2,18.2 16.2,NO
16,Passenger,Owen Gordon,MALE,1974-05-25,4KCIJWK5W,..-../...--//-...//--..-/,-:-..:.--:.-.::-:---.-:.:...---..-.--:::-.:---:.,SQBJ6A,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,3G,3,19.6 20.6 20.7,NO
17,Passenger,Lenny Read,MALE,1996-03-22,SEQTDCTYD,/-//.--.//--/-//.../../-/,:--..::..--.:.-...-:-.-:..--:..-:.::::.--::::.-:,6V8AXJ,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,3H,3,17.8 19.9 20.7,NO
18,Passenger,Kate Watts,FEMALE,1955-05-07,MMJVDGPON,././---./-/../-/--.-/..-/,.-.-.:..:::::..::-:-:--..::.:.::-:-.-::--...::.-,KS4179,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,3K,2,20.1 21.3,NO
19,Passenger,Agnes Palmer,FEMALE,1958-03-31,X57RNM1KD,/---//---/../--.--/.--/-/,:-.:.-:.-..:--:::---:-.-:--:-.:-.----.:.-:-:--:.,8ULI9N,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,4A,2,18 17.5,NO
20,Passenger,Jorgie Martin,FEMALE,1976-03-23,I1AB044UP,.-///./.-./-..-.-...-//--,--.:::-.-.-:..:-:..--.---..:-...:..:-...-.::.-::,C2PV9R,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,4C,2,19.6 18.6,NO
21,Passenger,Neve Bates,FEMALE,2011-03-27,1K1G8XF2Y,/.-//-/--/-./---.//-//--.,-::.:----.-:.::.-:.-.-:..--:.--...:-::--..:.----,W2UUEP,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,4D,2,18.3 21.1,NO
22,Passenger,Fabian Rose,MALE,1961-09-21,6SMQOS1LW,.-./..//./../-.../////.-.,-..:.--::-...:.--::.---.----:.--:::-.:-.-..:-..-,O5YGCJ,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,4G,2,17.3 18.8,NO
23,Passenger,Joaquin Archivaldo Guzman Loera,MALE,2015-10-16,WPTM0056B,-.-/-.-./-.-././-./../...,..:......-:-..--.:..-:::::.:.--..:-:-.:.-:-..--.,9IOPKF,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,4H,3,20.1 17.5 16.5,YES
24,Passenger,Marley Chambers,MALE,1970-08-31,HKPD5G8D3,/.--////./.-.-..--.-/-/..,:-..:--:-..:.:-.-..-:::---::.-:-.:.--:-:.:.:-.:.,B1C285,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,4K,2,21.9 21.8,NO
25,Passenger,Alexandra Rees,FEMALE,2019-02-12,KFUHFQE1O,.//./.-/..-.-//-./.-//../,:...-::--::---.::-.:.:..-::-:.:.:-.-:-:-.:...:.:,8E51B8,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,5A,2,17.8 21.5,NO
26,Passenger,Chloe Robinson,FEMALE,2010-01-14,MAP650IAE,.-/-..///..////.--//.-/.-,.:--:..--.-:::.-.:.-.....:--::.:::...:---.:--.-.,7MU0LC,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,5C,2,17.1 18 18,NO
27,Passenger,Myla Watson,FEMALE,1983-05-12,SXPMA8DEL,//---./../-.//.////-././.,.-:.:--:-.-..-.::....-.....----::.:--::--::..---,T6SN1D,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,5D,3,21.1 16.7 17.5,NO
28,Passenger,Eloise Lloyd,FEMALE,1986-05-05,F95TS9NHI,////-..///----.-//-./-/.-,-:-::----.:---.---:.::.:-:..-.-.-..:--:-..:--..-,VB326X,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,5G,2,21.4 17.8,NO
29,Passenger,Liam Byrne,MALE,1988-11-02,VY0J2RZUV,/././/.-//--.-..//.-//../,.-.:-..:..-:.--.-...:--.:.:-.::..:.::-.-:.-::.:-,7EMGNF,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,5H,3,21.8 21.6 20.7,NO
30,Passenger,Tyler Griffiths,MALE,1972-10-31,ZYX9M23HQ,---.-/-.-/--...-/.-/./-/.,-..-:.--:.-.:-:.-.:-:-.-.:::.-...-.:-..:-:-:.:..,U93WX7,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,5K,2,19.3 17.6,NO
31,Passenger,Margaret Gibson,FEMALE,1963-12-28,0SRS2ILGH,./-/.-/./-/-.-.-///-/.//.,.-.:.--:-.:...::.:.:.....--:.-:-:.::--:.:--:....,N6ST59,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,6A,3,19 21.4 16.9,NO
32,Passenger,Clementine Porter,FEMALE,1968-12-20,IEWG9TZRW,--.///...-//./-.//..-//.-,:-::--:.:--..:--.-..-::-.-:-::..:.:-:---:::.-:..,15ALT3,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,6C,2,20.9 21.5,NO
33,Passenger,Sydney Newman,FEMALE,1981-12-12,LVH8E5J4X,/-..-.../.-----////.-///.,::--.::--------:.:.--:.--::.:.:.::-:.:::.-:-:..-,DPMKM2,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,6D,3,20.2 21.6 19.3,NO
34,Passenger,Kaleb Fox,MALE,1996-06-20,N05N8U5FO,////.//---./.-.---.-.-///,-:-.--:-:.::::-:.:-.::::.:.:.-..-:::.:.-:.::--:-,876XCH,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,6G,2,19.1 19.8,NO
35,Passenger,Archie Read,MALE,1978-06-06,V5P0FRPZP,.---/-./--.--...-..//-//-,:--::-.--:-::---:.:.:-:.--::--..--:....:::-.:--.,9PZE68,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,6H,2,16.6 21.3,NO
36,Passenger,Kasper Booth,MALE,1959-09-27,ZZ24JIEOA,.-/../-//./.-././//.../-.,-.--::---:::-:.:.-..:.--:..-.:.-:::.:.-.-.-----:,18X01T,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,6K,2,19.6 19.1,NO
37,Passenger,Clara Mcdonald,FEMALE,1950-05-28,1WY5RXHYA,..--/-.//-////../////../.,.-:.-:-:--..::-:-.--..:.:-::-:-..:::--::--.-:.:-,2IWP0T,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,7A,3,21.8 17.1 19.3,NO
38,Passenger,Cleo Stone,FEMALE,1958-01-18,HLZG0Y5GQ,//-/..///...--/....--/.-/,::...--:.---..:-::::--.--.-.::-::---..-:::-:.-::,2M9TIW,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,7C,3,19 18.7 17.3,NO
39,Passenger,Francesca Holmes,FEMALE,1990-04-11,S3AF4ZXS9,//./.-/-///--././-///.-/.,..---.-::.---:-:-..-:-:-...:::-:-.::--::::.:-::-,SYVJ54,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,7D,2,20.6 17.4,NO
40,Passenger,Arya Campbell,FEMALE,1959-01-12,D0SQETVEF,..../-./-..//--./-/.../.-,:....--.:-.---::-::--.-.:.--..--..-.:::..:-:-::.,Q87ZO5,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,7G,2,19.4 18.7,NO
41,Passenger,Andre Cox,MALE,2006-02-17,57TEEPGAS,/--.././.--..-..//.././..,:...-:::-.:.-.-:::..:....::...-..-.-.::.--:--.::,9PC7E0,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,7H,3,20.7 21.1 21.4,NO
42,Passenger,Kevin Matthews,MALE,1966-11-19,TGL7FGY8N,/-.././-/../-.//.//.---./,.-::--:..::-..::--:----:...-.--:.::-::..-:.--.::,F59YBO,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,7K,3,20.4 16.9 18.6,NO
43,Passenger,Douglas Bates,MALE,1973-09-16,VLYGHG1ZV,////-../--//-..-.-.-.---.,-.:.-...------.-:--.-:...-:::..:::--:::::..:-:-.,SDL00C,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,8A,2,20.8 21.3,NO
44,Passenger,Liam Robertson,MALE,1962-05-01,WN9076P4J,-././.-./.--.--./.../.-/-,-.-:-..:-:.::-:.-::-:.:-..:--:.:::::.:--..:.-:.:,XBV0VO,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,8C,2,21.1 17.2,NO
45,Passenger,Angel Kelly,FEMALE,1996-09-28,173ZPJBZ1,././/.-.../-/..---//-..--,.::.----:...:..-:.-:.:-..:.--.:.:-.:..-..::--:..,ONBOER,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,8D,3,19.9 18.1 17.2,NO
46,Passenger,Leila Collins,FEMALE,1994-06-13,4FODRU1U0,///---/-///.//.//-./-/--.,:--:-...-:-:::::---:...::::.:-.:::-::.----..:-:.,CG4VQ9,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,8G,3,21.7 16.6 16.1,NO
47,Passenger,Brody Webb,MALE,2007-03-21,FMLKO7WMK,-.--./.-.///--.-./-.-/./-,::--.-:--..::.--:.:..::--:::..:.-.:...--:---::.-,BGVLRT,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,8H,2,21.6 18.3,NO
48,Passenger,Aleksander Williams,MALE,2008-07-28,C0XY9VMRA,/-.-/-.-////-/..-/.-/-./-,---:.:-:::::::-:-.:---.:.:.-:...-....-:..::::.::,216DA7,LH790,MUC,SIN,22:10,16:25+1,BUSINESS,8K,2,18.8 16.8,NO
49,Passenger,Alexa Roberts,FEMALE,1950-08-20,PVM8BISQ2,-/.-.-...-./..///-///-/./,-.-...-:::-.--:-:::.:-.::.::-.::::::-:..-:.-:-.-,BVU8YR,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12A,1,16.1,NO
50,Passenger,Meredith Walker,FEMALE,1983-09-23,5MC3QVFNG,--/-/-///.--/..---////./.,-.---..-.:----....:..:-:....:::-:.::..-..::.-::-,KRLJCJ,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12C,1,21.9,NO
51,Passenger,Summer Kennedy,FEMALE,1975-08-25,5OOOWOC3V,//-..--/-../-.//./-./.--/,---.-::::::..-::....-.:.-:---.--.::.---.::.:...:,L4PX5I,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12D,1,19,NO
52,Passenger,Ana Bailey,FEMALE,2001-03-11,UBSZ9MXW2,-.-/-.---///.--//-/.-.---,.:-::-::.---.:..::-.-.:.:--:--:.:-..--:.-::..-::,FR5NZA,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12E,1,20.8,NO
53,Passenger,Aston Morgan,MALE,2009-02-11,XP0L7PYSM,//...-.-.-/...---//--.-./,:-:.-::-.-:-..:...-.---:::-.-..-.-:.:-.-::..:.--,KX2YN6,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12G,1,17.4,NO
54,Passenger,Jason Lawrence,MALE,1971-11-26,JGD1ZRR05,.-..-.//.//./-..-.//.-/.-,..:-:-..--..::::-.-..-..:::.--.:-:...--:.--.:.--,NJ2710,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12H,1,21.8,NO
55,Passenger,Dakota Parry,FEMALE,1951-11-21,ZT58UMV3B,-/./.-.--/---/..../-/..-/,:-::.:.---.-:-.-.:.-.:..---:::--.::-.:.:.-::-:--,TN6RXJ,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,12K,1,16.7,NO
56,Passenger,Alexa Duncan,FEMALE,1994-06-28,6SZIC19UY,--/..-.//----/../-//.//--,.:.:..-.::---..:..::.-:-.-:.-:.-.-.-.-..--.-:.-.,PK8DQL,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14A,1,16.7,NO
57,Passenger,Harley Sharp,FEMALE,1977-12-12,NGN4X9Y86,/--.---././.-/-./--//..-/,::::...-::-:.:.:--:.-.--:-.-.::..-:--:--.::.--.-,KS7IOL,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14C,1,20.5,NO
58,Passenger,Ruja Ignatova,FEMALE,1999-08-27,WYA2R6ZCC,/./--.-././..-/--.-/--.-/,.-.::..:.--:--.--.::-.:.:--.:...:--:--.---.--:-:,R6IECS,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14D,1,19.5,YES
59,Passenger,Aliya Parker,FEMALE,2014-05-28,ILPM58JEF,-/-/-..---///--//-/--..//,:.:.:.-.-:-::.---:-.--..::.:.....----..-:.-::::.,ERYCGN,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14E,1,21.1,NO
60,Passenger,Eliza Lane,FEMALE,1953-09-11,XYI4121MZ,-./-//--/.....-/...-/..-.,:..--.-..--..:-.:::.-.::.-.-:-.:---.--::--:.----,3CEHIR,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14G,1,19,NO
61,Passenger,Tia Williams,FEMALE,1982-02-28,7QEWH80MH,.--//.-/--/-..-/.-./-.-//,.:-..-..:.:.::-..:...-:::.:--...:-.:-.::--:-..::,FXPYOJ,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14H,1,21.9,NO
62,Passenger,Pearl Scott,FEMALE,1975-10-31,BRVXLZTRW,--/.//.//.-.--.//..//.-/-,--:-:-:.:::::--..::----::----:-..-.::.--::-:.:.-,4MUYPO,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,14K,1,16.2,NO
63,Passenger,Sophia Perry,FEMALE,1975-08-22,ZVGXGSGIC,..//.--/-/.-/-/-//.////./,.:..-:-.:.:--:::--..:....-.--:..:-..:.::.:.-.::.,LFIIDD,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15A,1,16.4,NO
64,Passenger,Leo Reid,MALE,1965-06-24,Q0DHVSLU4,---/.-..-./---..--///./-/,-.----::::--..:--:..-:..:---.::::---.:----:-.::-,6MWO68,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15C,1,18.1,NO
65,Passenger,Agnes Hall,FEMALE,1965-12-04,C5YJYUOTO,-.---...///./...--/..-//.,.-:.::::...-.-.:.-.:::--::.-...:.:-.:.:--..:.-..,LYW0VR,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15D,1,20.5,NO
66,Passenger,Troy Cunningham,MALE,2000-05-08,P5XX7QZ7E,///--//./--./---.///..-//,-..--:::.:--:.-:::::.::-:-.::...:-..--...--::-.-,3DC0IP,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15E,1,19.3,NO
67,Passenger,Oakley Ross,MALE,1975-02-11,A03YLSGC0,-//.-././-//....-.././-./,:-..:--.:..::.-:.-::--:::--.-.....-..-.-:.--.:-.,X22P9E,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15G,1,18,NO
68,Passenger,Aliya White,FEMALE,1952-10-13,VC8UM4KOI,.-....-../--//./--..-/-//,:.:-::..::.-.-:.--..::.-:...-.--..-::::.-:--::.:,1DMVJX,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15H,1,17.5,NO
69,Passenger,Katherine Smith,FEMALE,1950-05-03,ULV8S7WYM,/.///---/..--/.---./-//-.,:::.::-:.---:.-:..::-....::--:..:-:...--::-:-..:,X6MXF6,LH790,MUC,SIN,22:10,16:25+1,PREMIUM_ECONOMY,15K,1,19.7,NO
70,Passenger,Lauren Green,FEMALE,1954-04-14,HML0289UB,---./.-//-.-..-/-...-//-/,:..:-:..:.:-:-:-.-.::....--:.:-:::-:-:---:.-.:::,FO2CF8,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,16A,1,21.4,NO
71,Passenger,Aliya Perry,FEMALE,1989-05-31,93JPGPI96,../././-///.-/-..-//-.---,-.-:-:::-.--..:-::-.--....:...-.--.:-:...:.:-:.-,ULZVDP,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,16C,1,21.5,NO
72,Passenger,Nadia Read,FEMALE,1986-11-14,8ABSBE80B,.///.//.//.-//.-//---/.//,:-::-..:-.:::.-..:..::-:.-..::-....:-:-:::-.-..-,WXQSLP,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,16D,1,20.5,NO
73,Passenger,Aarav Johnston,MALE,1996-04-29,LZ6Q8OW4A,/-/-....././.-/.-/..//...,.-.:-.:::.:::..-.-.:.-:.:.-:--:.:.-.-:---:.::.-:,HE86GT,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,16E,1,16.7,NO
74,Passenger,Hazel Doyle,FEMALE,1992-07-02,H0LYOKHTX,/.--.//--.//.--/..-..-//-,.-.-.-..:.:.---:.:-::.--.::-:..::.::-...-.:.:::-,QR98E0,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,16G,1,18.3,NO
75,Passenger,Destiny Graham,FEMALE,1989-09-19,08ZKAJS2Z,/.-///./.-..//.-./.-/--./,:-:--:-.-:.:::.-.-...-....-..-:-:-::--:.-::.--.:,DH9QM9,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18A,1,16.3,NO
76,Passenger,Louis Foster,MALE,2016-11-29,9SPO0DV1U,/..-//--/-///.--//..--///,--.:..:-:-.-.-:..:-.::...--::.--.-::--.--..:.:--,1HYR5J,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18B,1,18.6,NO
77,Passenger,Connor Sharp,MALE,2013-02-06,ZLNOYQY7E,---/.../..-./-./-././-..-,:-.---.:--:-....:...-:..-..--:-::::::-:-:.::..:.,8LMRVG,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18C,1,20.8,NO
78,Passenger,Jaxson Hudson,MALE,1986-08-19,S64651L3B,-//--.---//..---//-.//--.,-:.--..:.:-.::-.:--:-.-::..::.---::::-.--:--.--:,RC1RAU,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18D,1,18.6,NO
79,Passenger,Alan Barker,MALE,2014-02-01,9JMFWIRN1,.-./..-/.../-/.//..-./.-.,:-.-.::...-..--:--:--.--:.:-.-:-..--.::-::-:....,RU8TET,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18E,1,21.8,NO
80,Passenger,Libby Mills,FEMALE,1980-07-30,ZE3Q1VQ93,-..--/..-..////---././---,-::.:::-.---.:.--.-.:-..-:--:::--.-:::.---.--:.-,11MG3H,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18G,1,20,NO
81,Passenger,Cian Holland,MALE,2004-05-23,CMEYSA0G0,--.../.-././/.---/../-/-.,-.:::----.--.::.:::-:.--.-:.---.-.-:-:-::--:-:.:,2XK2AP,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18H,1,18.9,NO
82,Passenger,Casper Morris,MALE,2012-03-01,DY64K3U5E,..-./--.-//./-../--.--..-,.::-.-::..-.-.---.-::-.:.-.-:-::::--:.:..-.-:...,0YUPLC,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18J,1,17,NO
83,Passenger,Heidi George,FEMALE,1976-06-21,CXA7T1LDN,/-..--..//.-.-..-/-.--/-/,.:-:.-.--.-.:-..:::.--..-.------:-:-:--:::-.-::-,SVBWC9,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,18K,1,21,NO
84,Passenger,Honey Hunter,FEMALE,1995-07-27,J7BBNXK8Y,....---/..-//-/--/--..-./,-.:::..:..-::::--..---:-.-.:--...:-.::--.:..-.--,K9WKW0,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19A,1,21,NO
85,Passenger,Sebastian Taylor,MALE,2014-01-25,AP3MNX1S5,/-./....-/-/.--/--/-.-../,.-::-..:---.:-:..-:-.-::-.-..:::-:::..--.--:.-:.,BTDCW3,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19B,1,21.2,NO
86,Passenger,Ray Rose,MALE,1994-03-27,SSG33D2G1,--/-/..-./.--.-/-./..//-/,::--:.:-:---:..-.-:-:..--:.--:.:..-:..-----:::-:,1EJPNJ,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19C,1,17.6,NO
87,Passenger,Sonny Roberts,MALE,1955-12-05,1EPJIJZ8M,---//--../.-../..-..-/./-,.:..:-.-:-...::.:.-.:.:-:-::-:.:::...:--.:.--..:,6CRU6A,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19D,1,18.2,NO
88,Passenger,Lottie Brooks,FEMALE,1971-10-24,KCFK8UPXG,-.//.....-//-.-.././.-.//,...:....-..-.:.-.-..-::-.-::::::.:----::.:.:.:-:,PONXJ9,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19E,1,16.7,NO
89,Passenger,Maia Fraser,FEMALE,1970-02-09,E7VND8OEX,---/...-//./-/-.-/.././//,::....:-:..-.--.:-:-.:-..:::..--.-.-.-:-.----.-.,JG9ETX,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19G,1,20.5,NO
90,Passenger,Roman Gardner,MALE,1998-04-06,XQZ2XQZUQ,/-./---/-/-/.-/-/-//..//.,:..:-..---::.-:--:.:--::.--..::..::.:-.:..:-.::-,1S5Z80,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19H,1,18.6,NO
91,Passenger,Amber Jenkins,FEMALE,1954-09-29,S13HTIDO1,././../-..-/././/./..-...,-.:.::.-.:-:-:..-::-::-:..:---::.-:-:--::.::-:.-,2XZOHW,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19J,1,21,NO
92,Passenger,Riley Allen,MALE,2000-09-24,MN7X7IC33,//--../.-.--/.///--.--.//,-:-.:::-.:-:-:::-.:.:.-:--.::-::..--:--.:.:::-.:,N4P36U,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,19K,1,18.9,NO
93,Passenger,Walter Griffiths,MALE,1969-07-23,QZHXP1DE7,.....-/./.-//..///////.-.,::::-:--:..-:..:-:.:.::----:-::-..-:.-.--:.:::.-,YZFXEH,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,20A,1,18.9,NO
94,Passenger,Elena Mccarthy,FEMALE,1965-08-15,J6JTSCNU4,-//-////--....//../---.-/,--:::.--:::-.:..:-:-:-::.--::--.-:-:..:..-..:--:,WRIE6J,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,20B,1,18.9,NO
95,Passenger,Teddie Elliott,MALE,1978-11-11,KZQC2Y4PH,./-..-/..-//..-/-...-/--.,.-:-:.:-::.--::...-:::--.:--:-.:.-::-.:.-.-::..-,ZLNRY1,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,20C,1,20.9,NO
96,Passenger,Norah Turner,FEMALE,1974-02-23,78OJBGKGC,/./-./..../.---/--.-//---,.-:...--::--::.:.-.-:..-:--:.:--:--..-...:-.-:--,ZXI6H6,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,20D,1,16.6,NO
97,Passenger,Amira Holland,FEMALE,1987-06-08,95AJL4419,././.../..//--.-/.-/-.-//,.-.::--.:-.-..:-..-::.:-.::..:--:.:-:.-.--::-.::,BFXUND,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,20E,1,17.5,NO
98,Passenger,Victor Read,MALE,1999-05-24,FTVUV1I35,-././//---../....///-----,.::-:.--:-:.:--:--:.::--..--..:-:-:.::.-:::---::,XSO2BV,LH790,MUC,SIN,22:10,16:25+1,ECONOMY,20G,1,16.3,NO
